Ice Service Krzysztof Bednarski #         chlodny@wp.eu     #502 439 610
Klimapol Jarosław Czarnecki #         biuroklimapol@gmail.com     #723 920 206
P6 Klima Krzysztof Skarulis #         p6-klima@wp.pl     #790 461 609
Aleksander Zwierzyński Elektromechanika #         elektromechanika56@wp.pl     #(44) 683 48 46
Eko-Sept Klimatyzacja, Pompy ciepła, Fotowoltaika #         biuro@eko-sept.pl     #600 292 325
Serwis Domowy inż. Piotr Główczyński #         serwis.domowy79@gmail.com     #669 103 234
MS Profil Małgorzata Stasiowska #         msprofil@interia.pl     #503 933 822
Went-Klima Łukasz Budnik #         biuro@wentklima.pl     #(22) 511 53 33
Eco-Frost Jarosław Gaworski #         ecofrost@ecofrost.pl     #(77) 472 34 00
Promaster s.c. #         biuro@promaster.pl     #(81) 854 15 96
Went-Klima Klimatyzacja #         biuro@wentklima.pl     #(22) 511 53 33
Klimatyzacja, wentylacja, pompy ciepła - Sprzedaż Montaż - Klima Master #         biuro@klima-master.pl     #695 613 499
Klima-Ben #         biuro@klima-ben.pl     #510 117 414
Igllo Marcin Olejnik #         info@igllo.pl     #512 852 959
Top Klima Piotr Sułowski Tomasz Sułowski Spółka Cywilna #         biuro@topklima.com.pl     #(41) 342 60 57
Clima Polska Sp. z o.o. #         info@clima.com.pl     #(22) 349 29 49
Waso Klim Łukasz Sobała #         biuro@waso-klimatyzacja.pl     #509 447 179
Mateusz Żylarski Instalacje #         zylarski@gmail.com     #535 898 535
Gradus Wentylacja Klimatyzacja Andrzej Kowalik #         biuro@gradus.com.pl     #(58) 557 15 75
Cool Komfort Magic Glassware Piotr Gaca #         komfort.cool@gmail.com     #530 025 540
Fan Piotr Brzeziński #         fan@klimatyzacja.lodz.pl     #(42) 611 12 10
Invest Klima Krzysztof Diakowski #         investklima@investklima.pl     #(58) 660 63 24
Icemax Mateusz Bartkowiak #         icemax@interia.eu     #606 626 496
Cold-Center Rafał Morawski #         cold-center@o2.pl     #661 072 848
WOMAR HVAC spółka z ograniczoną odpowiedzialnością #         jtrzcinski@womar.com     #609 601 771
KlimCool #         biuro@klimcool.pl     #697 927 650
R.K. Chłód-Klim Rafał Kowalski #         r_kowalski@op.pl     #792 268 791
Roc-Went Instalacje Adam Niedzielski #         adam.niedzielski@wp.pl     #505 344 763
Cool&amp;Fresh Tomasz Żmuda #         zmuda.tomasz.93@gmail.com     #602 657 567
Ice Waldemar Zółkiewski #         waldekhot@wp.pl     #697 574 557
Humac Air Creators Sp. z o.o. #         biuro@humac.pl     #509 961 839
Klima Plus Przedsiębiorstwo wielobranżowe Grażyna Czyżak, Marta Czyżak-Jęczkowska Spółka Jawna #         biuro@klima.pl     #(61) 679 11 22
S-Tech Klima Paweł Skrobot #         stechklima@gmail.com     #501 682 041
Klima-Tech Marek Murawski #         klimatyzacja@klima-tech.opole.pl     #606 619 782
Geo-Eko Firma Handlowo-Usługowa Tomasz Bil #         biuro@wentylacja.info     #(13) 464 92 92
Kilklim Cezary Kiliński #         biuro@kilklim.pl     #609 517 372
Ice Net Tomasz Baran #         t-baran@o2.pl     #512 147 893
El Klima Partner Rafał Rozmarynowski #         el.klima.partner@wp.pl     #666 191 311
Hurtownia Wentylacyjna Ventom - Oxy8.pl #         biuro@oxy8.pl     #512 254 005
Klim-El Kamil Krzyżanek #         klimel@op.pl     #502 076 734
##test
Progress Klima Mirosław Królak #         progressklima@progressklima.com.pl     #601 855 855
Climaher Rafał Mikucki #         climaher@op.pl     #609 004 547
Wenteam Łukasz Wlazło #         wenteam.kalisz@onet.eu     #502 161 140
Expert Mirosław Kukurowski klimatyzacja, wentylacja Brzeg #         expertmirek@op.pl     #601 892 551
Tech-Cold Chłodnictwo Klimatyzacja Krzysztof Mosiądz #         biuro@tech-cold.pl     #660 411 160
Klimapro Marek Karpiuk #         marek@klimapro.com.pl     #509 682 423
Ik Instal #         biuro@ikinstal.pl     #881 188 881
Klima-Went Grzegorz Bielecki #         biuro@klimawent-lancut.pl     #605 579 075
Montherm Klimatyzacja Jacek Piwowarczyk #         biuro@montherm.pl     #603 102 303
Gtinstal Tomasz Grębosz #         tomek.grebosz@gmail.com     #698 303 911
